Trial,ID,order_hb,arena_hb,act_hb,exp_hb,idate.x,JDate_hb,order_ym,arena_ym,act_ym,soc_ym,idate.y,JDate_ym,sex,min.ta,max.ta,dawn.ta,group.size,mass,fa,total.inf,total.areas,wing.inf,fur.inf,wing.areas,fur.areas,p.zero,sex_pz
5,0006C899E8,2,1,4.55889799409637,0.25526527661943,2014-08-08,220,15,B,2.93698798569675,1.12587786227439,2014-08-11,223,F,13.5,30.2,15.1,15,8.7,37.8,0.0261,27,0.0182,0.0675,17,10,no,M
5,0006DFB3BF,5,2,2.8985057977199,0.767683792562526,2014-08-08,220,4,A,1.01331284677592,0.606512081457346,2014-08-10,222,F,13.5,30.2,15.1,15,8.6,38.4,0.0144,28,0.0134,0.0208,17,11,no,M
5,0006E92EE4,8,1,0.980871022358388,-1.41600319563792,2014-08-09,221,8,A,-2.16957427024228,0.255645450081261,2014-08-10,222,F,13.5,30.2,15.1,15,9.2,37.8,0.05863,59,0.0487,0.1345,40,19,no,M
5,0006EA2581,12,1,1.29735214240078,-0.433335813130365,2014-08-09,221,7,B,-1.34305929109739,0.208040115204907,2014-08-10,222,M,13.5,30.2,15.1,15,9.7,38.4,0.05476,58,0.0516,0.073,45,13,no,M
5,0006EB3382,9,2,2.70310393158667,-0.269834888531708,2014-08-09,221,6,A,2.60710045692672,1.1985392095343,2014-08-10,222,M,13.5,30.2,15.1,15,7.4,38.4,0.0898,61,0.0746,0.1998,43,18,no,M
5,0006EB3C37,14,1,0.821561126066888,-0.291297215963108,2014-08-09,221,3,B,-0.889572349542394,0.648179934471557,2014-08-10,222,M,13.5,30.2,15.1,15,7.7,37.2,0.0327,50,0.0252,0.0748,28,22,no,M
5,0006EE192D,10,1,0.409375927967943,-0.00747947874307847,2014-08-09,221,16,A,3.08943877140671,1.0874678973464,2014-08-11,223,M,13.5,30.2,15.1,15,7.4,38.6,0.1238,66,0.0897,0.3172,47,19,no,M
5,0006F2286F,4,1,0.85395068567995,-1.61675526283113,2014-08-08,220,1,B,-1.72518883941768,0.0712794584260363,2014-08-10,222,F,13.5,30.2,15.1,1,9.1,37.7,0.0095,8,2e-04,0.0817,2,6,no,M
5,0006F2449B,15,2,0.928778319046918,0.402238219172036,2014-08-09,221,2,A,1.58406268226367,-0.30593808432227,2014-08-10,222,M,13.5,30.2,15.1,15,8,38.4,0.0638,38,0.0196,0.3343,28,19,no,M
5,0006F2481C,3,2,-2.38007935681402,1.31835025247282,2014-08-08,220,9,B,1.38226656506967,0.552856685683405,2014-08-10,222,F,13.5,30.2,15.1,15,9,36.3,0.0482,41,0.0289,0.1502,26,15,no,M
