"","ID","order","arena","date","act","exp"
"115","0006F246D9",4,2,"06-Sep-14",0.621416452540607,1.40011611159835
"116","0006EB42F7",5,1,"06-Sep-14",-3.13954993536143,-2.3241503525073
"117","0006F227CA",6,2,"06-Sep-14",-3.29235288656203,-0.184076757955924
"118","0006EE4FA5",7,1,"06-Sep-14",-0.217411281518851,-1.44394201828406
"119","0006C86599",8,2,"06-Sep-14",-1.94682972520441,-0.70607396364895
"120","0006EA7863",9,1,"06-Sep-14",4.59341006540575,5.11857471807676
"121","0006AA127F",10,2,"06-Sep-14",-0.689118720029825,0.864421299402614
"122","00069D1349",11,1,"06-Sep-14",0.365249907282286,0.95361813861671
"123","0006C77BF4",12,2,"06-Sep-14",0.343914566257282,-1.16098764255677
"124","0006D76E62",13,1,"06-Sep-14",0.20849246026389,-1.48586488202517
"125","0006EE2405",14,2,"06-Sep-14",-0.586231978201597,-1.38332578971753
"126","0006EE21E9",15,1,"06-Sep-14",-1.12654501307414,-0.547788881208763
"127","00074F0993",16,2,"06-Sep-14",-0.881433979933653,1.37115193253552
"128","0006A941D6",1,1,"08-Sep-14",-2.05567533803623,-0.688217656613335
"129","0006F219CA",2,2,"08-Sep-14",-3.32552401806438,1.55950711014865
"130","0006C75ECE",3,1,"08-Sep-14",-0.398894844928913,-0.170223649092336
"131","0006F241DB",4,2,"08-Sep-14",-2.44493337369543,1.82107642948427
"132","0006D77323",5,1,"09-Sep-14",-0.693640775845963,3.04548980970564
"133","0006EA33BE",6,2,"09-Sep-14",-0.892341375656611,-1.27101948905954
"134","0006C7673B",7,1,"09-Sep-14",0.595961983457751,0.254591941207971
"135","0006F24D76",8,2,"09-Sep-14",0.0217669507050807,-0.168915776183446
"136","0006E9150F",9,1,"09-Sep-14",0.814730906102179,-1.51580200456873
"137","0006E9AFB5",10,2,"09-Sep-14",1.81662417129388,-0.384319404907047
"138","0006EE186B",11,1,"09-Sep-14",0.128247379064338,-1.29496151324822
"139","0006EA374F",12,2,"09-Sep-14",2.26011816465024,0.370435510266949
"140","0006E022A0",13,1,"09-Sep-14",-0.0133626907341538,-1.2195576468453
"141","0006EE1641",14,2,"09-Sep-14",0.762824131284331,1.70400609259483
"142","0006C7673F",15,1,"09-Sep-14",0.141885069343489,-1.47242424931702
"143","0006C7819D",16,2,"09-Sep-14",-1.57969843702592,-0.681447934998157
"144","0006A94424",1,1,"12-Sep-14",1.92764287885675,0.529644233828508
"145","0006EA4DA6",2,2,"12-Sep-14",0.160149289186865,-0.44692958356299
"146","0006F23614",3,1,"12-Sep-14",0.505546409222961,-0.786561640996565
"147","0006E9FD91",4,2,"13-Sep-14",-3.76396427983915,0.203812323032755
"148","0006E93556",5,1,"13-Sep-14",0.649595781869481,0.216948747606451
"149","0006EA2FCD",6,2,"13-Sep-14",-4.25219165412114,1.55033680849204
"150","0006F23DA8",7,1,"13-Sep-14",-3.28495321041886,1.50878836000654
"151","0006C858A6",8,2,"13-Sep-14",-1.10835504794748,-0.0729548098079645
"152","0006E93571",9,1,"13-Sep-14",-1.76128436540174,0.841976318874052
"153","0006F20AE3",10,2,"13-Sep-14",-1.03442005503571,0.325674334512393
"154","0006D12DB5",11,1,"13-Sep-14",1.28733665084718,0.915807548934679
"155","0006DEC4F0",12,2,"13-Sep-14",-2.98481597403284,-0.0491695623614822
"156","0006C8A4A7",13,1,"13-Sep-14",-2.10276036979337,-0.223903639776557
"157","0006EA3FAF",14,2,"13-Sep-14",0.0725128151847823,-1.45676572906896
"158","0006DE9E91",15,1,"13-Sep-14",-1.33031071620336,0.309589152040008
"159","0006DEC8EF",16,2,"13-Sep-14",0.505983529028101,2.19279753689776
